isbn,titulo,Autor,precio,link,categoria
9789566100348,Actuar Con Andres Perez,"VILA, SEBASTIAN",15900,https://www.antartica.cl/actuar-con-andres-perez-9789566100348.html,Arte y Arquitectura
9789560117113,Fenomenos Intrusivos. Obras De Teatro Apiladas,"RAMIREZ, GONZALO",15000,https://www.antartica.cl/fenomenos-intrusivos-obras-de-teatro-apiladas-9789560117113.html,Arte y Arquitectura
9789560116840,Habitar Desde El Genero. Metodos Para Idear Ciudades Desde El Urbanismo Feminista,"DELPINO, MONTSERRAT
GUERRERO,  ROSA MARIA",14000,https://www.antartica.cl/habitar-desde-el-genero-metodos-para-idear-ciudades-desde-el-urbanismo-feminista-9789560116840.html,Arte y Arquitectura
9780241594971,Avatar. Diccionario Visual,Autores Varios Varios autores,33999,https://www.antartica.cl/avatar-diccionario-visual-9780241594971.html,Arte y Arquitectura
9788433902009,Tragedias William Shakespeare,"SHAKESPEARE, WILLIAM",48000,https://www.antartica.cl/tragedias-william-shakespeare-9788433902009.html,Arte y Arquitectura
9788433927415,Ecos De La Melancolia,"COE, JONATHAN",23000,https://www.antartica.cl/ecos-de-la-melancolia-9788433927415.html,Arte y Arquitectura
9789566235071,Beatriz Leyton,"MELLADO, PASTOR JUSTO",38800,https://www.antartica.cl/beatriz-leyton-9789566235071.html,Arte y Arquitectura
9789566203964,Desbordar El Cauce. Dialogos Con Artista,"GUZMAN, VICTORIA",18900,https://www.antartica.cl/desbordar-el-cauce-dialogos-con-artista-9789566203964.html,Arte y Arquitectura
9789566203889,Desmarcar El Territorio. Otras Escenas Artisticas Durante La Dictadura En Chile,"MACCHIAVELLO CORNEJO, CARLA",21900,https://www.antartica.cl/desmarcar-el-territorio-otras-escenas-artisticas-durante-la-dictadura-en-chile-9789566203889.html,Arte y Arquitectura
9780241700334,Destinos De Pelicula (Guias Visuales),DORLING KINDERSLEY,28000,https://www.antartica.cl/destinos-de-pelicula-guias-visuales-9780241700334.html,Arte y Arquitectura
9780241705605,Acuarela. Tecnicas Artisticas,DORLING KINDERSLEY,30000,https://www.antartica.cl/acuarela-tecnicas-artisticas-9780241705605.html,Arte y Arquitectura
9789560116710,Mal Humor. 6 Obras De Tomas Espinosa Para Geografia Teatral,"ESPINOSA BERTRAN, TOMAS",18000,https://www.antartica.cl/mal-humor-6-obras-de-tomas-espinosa-para-geografia-teatral-9789560116710.html,Arte y Arquitectura
9789560116994,Arte Y Memoria Afrodescendiente En Chile,"FUENTES GONZALEZ, ALEJANDRA",18000,https://www.antartica.cl/arte-y-memoria-afrodescendiente-en-chile-9789560116994.html,Arte y Arquitectura
9789569058776,El Alma Del Verdor De Santiago,"HECHT MARCHANT, ROMY",30000,https://www.antartica.cl/el-alma-del-verdor-de-santiago-9789569058776.html,Arte y Arquitectura
9789566387008,Se Vive La Casa,"ECHEVARRIA, SOL",31990,https://www.antartica.cl/se-vive-la-casa-9789566387008.html,Arte y Arquitectura
9789561608948,La Voz De La Madera En Las Iglesias Chilotas,"SAHADY, ANTONIO",32800,https://www.antartica.cl/la-voz-de-la-madera-en-las-iglesias-chilotas-9789561608948.html,Arte y Arquitectura
9783741936289,Rosa Bonheur,"FEMELAT, ARMELLE",8880,https://www.antartica.cl/rosa-bonheur-9783741936289.html,Arte y Arquitectura
9783741939532,Tintoretto,"DANGELMAIER, RUTH",8880,https://www.antartica.cl/tintoretto-9783741939532.html,Arte y Arquitectura
9783741939396,Kirchner,"HANSMANN, DORIS",8880,https://www.antartica.cl/kirchner-9783741939396.html,Arte y Arquitectura
9783741939235,Cezanne,"DUECHTING, HAJO",8880,https://www.antartica.cl/cezanne-9783741939235.html,Arte y Arquitectura
9783741939211,Gustave Caillebotte,"MOREL, GUILLAUME",8880,https://www.antartica.cl/gustave-caillebotte-9783741939211.html,Arte y Arquitectura
9783741939488,Botticelli,"DANGELMAIER, RUTH",14800,https://www.antartica.cl/botticelli-9783741939488.html,Arte y Arquitectura
9783741930126,Gustave Courbet,"GRILLET, THIERRY",8880,https://www.antartica.cl/gustave-courbet-9783741930126.html,Arte y Arquitectura
9783741930102,Arcimboldo,"FEMELAT, ARMELLE",8880,https://www.antartica.cl/arcimboldo-9783741930102.html,Arte y Arquitectura
9783741936548,Scandinavian National Parks,"PAWLITZKI, MELANIE",16140,https://www.antartica.cl/scandinavian-national-parks-9783741936548.html,Arte y Arquitectura
9783741939365,Toulouse-Lautrec,"DUECHTING, HAJO",8880,https://www.antartica.cl/toulouse-lautrec-9783741939365.html,Arte y Arquitectura
9783741939174,Rembrandt,"KIECOL, DANIEL",8880,https://www.antartica.cl/rembrandt-9783741939174.html,Arte y Arquitectura
9783741939303,Pierre Bonnard,"MOREL, GUILLAUME",8880,https://www.antartica.cl/pierre-bonnard-9783741939303.html,Arte y Arquitectura
9783741939402,Paul Klee,"DUECHTING, HAJO",8880,https://www.antartica.cl/paul-klee-9783741939402.html,Arte y Arquitectura
9783741939112,Hokusai,"MEXTORF, OLAF",8880,https://www.antartica.cl/hokusai-9783741939112.html,Arte y Arquitectura
9783741939105,Hiroshige,"NENTWIG, JANINA",14800,https://www.antartica.cl/hiroshige-9783741939105.html,Arte y Arquitectura
9783741937347,Art Nouveau 3,"HAUFFE, THOMAS",16140,https://www.antartica.cl/art-nouveau-3-9783741937347.html,Arte y Arquitectura
9783741937316,Art Nouveau 2,"HAUFFE, THOMAS",16140,https://www.antartica.cl/art-nouveau-2-9783741937316.html,Arte y Arquitectura
