isbn,titulo,Autor,precio,link,categoria
9788434438392,La Curiosa Historia Del Corazon,"FIGUEREDO, VINCENT M.",24900,https://www.antartica.cl/la-curiosa-historia-del-corazon-9788434438392.html,Ciencias Exactas
9788492917303,Una Historia De La Inteligencia,"BENNETT, MAX S.",23120,https://www.antartica.cl/una-historia-de-la-inteligencia-9788492917303.html,Ciencias Exactas
9789561130937,Ecuaciones Diferenciales,"OSSES ALVARADO, AXEL",24900,https://www.antartica.cl/ecuaciones-diferenciales-9789561130937.html,Ciencias Exactas
9789566291961,Eva,"BOHANNON, CAT",25900,https://www.antartica.cl/eva-9789566291961.html,Ciencias Exactas
9789564065281,Newton Y El Profesor De Fisica,"CID, CLAUDIO",13990,https://www.antartica.cl/newton-y-el-profesor-de-fisica-9789564065281.html,Ciencias Exactas
9789569948732,El Catalizador,"CECH, THOMAS ROBERT",22900,https://www.antartica.cl/el-catalizador-9789569948732.html,Ciencias Exactas
9789564087160,El Lado Oculto De La Ciencia,"IZAURIETA, FERNANDO",15120,https://www.antartica.cl/el-lado-oculto-de-la-ciencia-9789564087160.html,Ciencias Exactas
9789566293651,Un Viaje A Las Ideas,"NAVAS, ANDRES",11900,https://www.antartica.cl/un-viaje-a-las-ideas-9789566293651.html,Ciencias Exactas
9789569948688,Seres Sintientes,"HIGGINS, JACKIE",22900,https://www.antartica.cl/seres-sintientes-9789569948688.html,Ciencias Exactas
9789566247760,El Dia Que Inventamos La Realidad,"ARGUELLO, JAVIER",18000,https://www.antartica.cl/el-dia-que-inventamos-la-realidad-9789566247760.html,Ciencias Exactas
9789566247777,Cosas Que Nunca Creeriais,"QUIAN, RODRIGO",20000,https://www.antartica.cl/cosas-que-nunca-creeriais-9789566247777.html,Ciencias Exactas
9780241703083,Universo. La Guia Visual Definitiva,DORLING KINDERSLEY,50000,https://www.antartica.cl/universo-la-guia-visual-definitiva-9780241703083.html,Ciencias Exactas
9788429173963,Bioquimica. Fundamentos Para Medicina Y Ciencias De La Vida,"MULLER-ESTERL, WERNER",62991,https://www.antartica.cl/bioquimica-fundamentos-para-medicina-y-ciencias-de-la-vida-9788429173963.html,Ciencias Exactas
9788410025653,Breve Historia De Los Agujeros Negros,"SMETHURST, REBECCA",20000,https://www.antartica.cl/breve-historia-de-los-agujeros-negros-9788410025653.html,Ciencias Exactas
9789563036893,La Pequeña Historia De Los Copos De Nieve,"GHYS, ETIENNE",20000,https://www.antartica.cl/la-pequena-historia-de-los-copos-de-nieve-9789563036893.html,Ciencias Exactas
9788429151978,Introduccion Al Analisis Funcional. Teoria Y Aplicaciones,"GATICA, GABRIEL N.",30392,https://www.antartica.cl/introduccion-al-analisis-funcional-teoria-y-aplicaciones-9788429151978.html,Ciencias Exactas
9788429151961,Calculo Integral V,"ESPINOSA HERRERA, ERNESTO",26392,https://www.antartica.cl/calculo-integral-v-9788429151961.html,Ciencias Exactas
9788410313118,La Singularidad,"FENOLLOSA, CARLOS",21200,https://www.antartica.cl/la-singularidad-9788410313118.html,Ciencias Exactas
9789561432505,Modelos Estocasticos Para La Gestion De Sistemas,"GAZMURI SCHLEYER, PEDRO",21000,https://www.antartica.cl/modelos-estocasticos-para-la-gestion-de-sistemas-9789561432505.html,Ciencias Exactas
9788413613192,El Sueño De La Inteligencia Artificial,"BAÑOS, GISELA",29500,https://www.antartica.cl/el-sueno-de-la-inteligencia-artificial-9788413613192.html,Ciencias Exactas
9788413612980,Viajes Espaciales,"DUQUE, PEDRO",18900,https://www.antartica.cl/viajes-espaciales-9788413612980.html,Ciencias Exactas
9789569328473,Cointeligencia,"MOLLICK, ETHAN",12600,https://www.antartica.cl/cointeligencia-9789569328473.html,Ciencias Exactas
9788411960779,Porsche. Un Clasico,"LABAN, BRIAN",26991,https://www.antartica.cl/porsche-un-clasico-9788411960779.html,Ciencias Exactas
9789569948596,La Proporcion Aurea,"LIVIO, MARIO",20900,https://www.antartica.cl/la-proporcion-aurea-9789569948596.html,Ciencias Exactas
9789566289180,Entrena Tu Cerebro,"MOORE, GARETH",17000,https://www.antartica.cl/entrena-tu-cerebro-9789566289180.html,Ciencias Exactas
9789566293507,La Edad De La Empatia,"DE WAAL, FRANS",13900,https://www.antartica.cl/la-edad-de-la-empatia-9789566293507.html,Ciencias Exactas
9789566366171,"El Cerebro, El Teatro Del Mundo","YUSTE ROJAS, RAFAEL",18900,https://www.antartica.cl/el-cerebro-el-teatro-del-mundo-9789566366171.html,Ciencias Exactas
9788411326032,Un Paseo Por El Universo,VARIOS AUTORES,35000,https://www.antartica.cl/un-paseo-por-el-universo-9788411326032.html,Ciencias Exactas
9788411323000,El Cerebro Adolescente,"JENSEN, FRANCES E.",28000,https://www.antartica.cl/el-cerebro-adolescente-9788411323000.html,Ciencias Exactas
9789566232766,El Universo Segun Carlota #4. Galaxias Lejanas Y Materia Oscura,,13900,https://www.antartica.cl/el-universo-segun-carlota-4-galaxias-lejanas-y-materia-oscura.html,Ciencias Exactas
9789566232766,El Universo Segun Carlota #4. Galaxias Lejanas Y Materia Oscura,"PANEQUE, TERESA",13900,https://www.antartica.cl/el-universo-segun-carlota-4-galaxias-lejanas-y-materia-oscura-9789566232766.html,Ciencias Exactas
9789563145946,Revisitando La Estructura Perversa,"DITTBORN SANTA CRUZ, JUAN",26500,https://www.antartica.cl/revisitando-la-estructura-perversa-9789563145946.html,Ciencias Exactas
9788413611372,Midiendo El Cielo Y La Tierra,"BALLESTEROS, FERNANDO",22899,https://www.antartica.cl/midiendo-el-cielo-y-la-tierra-9788413611372.html,Ciencias Exactas
9788413612249,La Evolucion Del Cerebro Humano,"BRUNER, EMILIANO",22899,https://www.antartica.cl/la-evolucion-del-cerebro-humano-9788413612249.html,Ciencias Exactas
9788413612232,Inteligencia Emocional,"FERNANDEZ-BERROCAL, PABLO",22899,https://www.antartica.cl/inteligencia-emocional-9788413612232.html,Ciencias Exactas
9788413612287,Este No Es El Titulo De Este Libro,"MAESTRE BLANCO, NELO",22899,https://www.antartica.cl/este-no-es-el-titulo-de-este-libro-9788413612287.html,Ciencias Exactas
,,,,,Ciencias Exactas
9788492917150,Pertenencia,"COHEN, GEOFFREY L.",23120,https://www.antartica.cl/pertenencia-9788492917150.html,Ciencias Exactas
9789566247609,El Humano Futuro,"MALDONADO, PEDRO",16000,https://www.antartica.cl/el-humano-futuro-9789566247609.html,Ciencias Exactas
9789566366140,"Su Espacio, Su Tiempo","GHOSE, SHOHINI",20900,https://www.antartica.cl/su-espacio-su-tiempo-9789566366140.html,Ciencias Exactas
9788419399236,El Universo En Una Caja,"PONTZEN, ANDREW",19000,https://www.antartica.cl/el-universo-en-una-caja-9788419399236.html,Ciencias Exactas
9789561432680,Geometria Razonada,"DISSET VELEZ, LUIS",16000,https://www.antartica.cl/geometria-razonada-9789561432680.html,Ciencias Exactas
9788408273486,¿Donde Estan Las Llaves?,"MARTINEZ-HORTA, SAUL",29900,https://www.antartica.cl/donde-estan-las-llaves-9788408273486.html,Ciencias Exactas
9788413613116,Memorias De La Tierra,"SANZ, ELENA",22899,https://www.antartica.cl/memorias-de-la-tierra-9788413613116.html,Ciencias Exactas
9789566293439,Dibujando El Cosmos,"MAZA, JOSE MARIA",9900,https://www.antartica.cl/dibujando-el-cosmos-9789566293439.html,Ciencias Exactas
9789566355212,Meteoritos. Una Conversacion Entre El Suelo Y El Cielo,"LEON, GABRIEL",8800,https://www.antartica.cl/meteoritos-una-conversacion-entre-el-suelo-y-el-cielo-9789566355212.html,Ciencias Exactas
9788491996293,Los Sueños De Los Que Esta Hecha La Materia,"HAWKING, STEPHEN",59900,https://www.antartica.cl/los-suenos-de-los-que-esta-hecha-la-materia-9788491996293.html,Ciencias Exactas
9788491996231,La Tierra Transformada,"FRANKOPAN, PETER",44900,https://www.antartica.cl/la-tierra-transformada-9788491996231.html,Ciencias Exactas
9788434437456,La Sabiduria De Los Buhos,"ACKERMAN, JENNIFER",30900,https://www.antartica.cl/la-sabiduria-de-los-buhos-9788434437456.html,Ciencias Exactas
9788449342059,Erase Una Vez Los Numeros Primos,"HART, SARAH",30900,https://www.antartica.cl/erase-una-vez-los-numeros-primos-9788449342059.html,Ciencias Exactas
9789564085999,Sistema Solar,"MAZA, JOSE MARIA",18900,https://www.antartica.cl/sistema-solar-9789564085999.html,Ciencias Exactas
9788491996149,Tesla. Inventor De La Era Electrica,"CARLSON, W. BERNARD",40900,https://www.antartica.cl/tesla-inventor-de-la-era-electrica-9788491996149.html,Ciencias Exactas
