isbn,titulo,Autor,precio,link,categoria
9788418483103,Pokemon Super Extra Delux. Guia Esencial Definitiva,THE POKEMON COMPANY,25000,https://www.antartica.cl/pokemon-super-extra-delux-guia-esencial-definitiva-9788418483103.html,Computacion e informatica
9789562893862,Erase Una Vez Un Algoritmo. Como Las Historias Explican La Computacion,"ERWIG, MARTIN",15900,https://www.antartica.cl/erase-una-vez-un-algoritmo-como-las-historias-explican-la-computacion-9789562893862.html,Computacion e informatica
9788467961065,The Legend Of Zelda. Arte Y Artefactos,"BRICKENKAMP, ROLF
VARIOS AUTORES",69990,https://www.antartica.cl/the-legend-of-zelda-arte-y-artefactos-9788467961065.html,Computacion e informatica
9789561130951,Accesibilidad En El Habitat Residencial,"GAETE REYES, MARIELA",25000,https://www.antartica.cl/accesibilidad-en-el-habitat-residencial-9789561130951.html,Computacion e informatica
9789588763927,Five Nights At Freddys. Escalofrios De Frazbear #2,"CAWTHON, SCOTT",16000,https://www.antartica.cl/five-nights-at-freddys-escalofrios-de-frazbear-2-9789588763927.html,Computacion e informatica
9791254990346,IA Generativa Para Dummies,"DI BELLO, BONAVENTURA",24990,https://www.antartica.cl/ia-generativa-para-dummies-9791254990346.html,Computacion e informatica
9788445016114,Como Se Hizo Assassin's Creed. 15 Aniversario,UBISOFT ENTERTAINMENT INC.,35900,https://www.antartica.cl/como-se-hizo-assassin-s-creed-15-aniversario-9788445016114.html,Computacion e informatica
9788419380111,La Historia Definitiva De Los Videojuego,"KENT, STEVEN",30350,https://www.antartica.cl/la-historia-definitiva-de-los-videojuego-9788419380111.html,Computacion e informatica
9788417389604,La Historia De Atari Video Computer System,"FERNANDEZ SPIDEY, JOSE MANUEL",26780,https://www.antartica.cl/la-historia-de-atari-video-computer-system-9788417389604.html,Computacion e informatica
9788419380609,Bits Armonicos Y Pijamas De Monos,"MARTIN, JOSE",24260,https://www.antartica.cl/bits-armonicos-y-pijamas-de-monos-9788419380609.html,Computacion e informatica
9791254990056,Todo Sobre Los NFT,"GARAVAGLIA, ROBERTO",24000,https://www.antartica.cl/todo-sobre-los-nft-9791254990056.html,Computacion e informatica
9791254990063,Google Liquido,"TAVERNITI, GIORGIO",23000,https://www.antartica.cl/google-liquido-9791254990063.html,Computacion e informatica
9789701071335,Ubuntu Linux Paso A Paso,"HALLE, FRANCIS",34510,https://www.antartica.cl/ubuntu-linux-paso-a-paso-9789701071335.html,Computacion e informatica
9788448139896,Teoria Y Estructura De Las Relaciones Publicas,,18800,https://www.antartica.cl/teoria-y-estructura-de-las-relaciones-publicas9788448139896.html,Computacion e informatica
9780804163446,Tales Of Xillia 2: Prima Official Game Guide,PRIMA GAMES,13990,https://www.antartica.cl/tales-of-xillia-2-prima-official-game-guide-9780804163446.html,Computacion e informatica
9789562564540,Sumando A Los Demas Los Separados En Nue,Juan Antonio Buere,2320,https://www.antartica.cl/sumando-a-los-demas-los-separados-en-nue-9789562564540.html,Computacion e informatica
9788448132316,Microsoft Outlook Version 2002 Visual,"BOYCE, JIM",10100,https://www.antartica.cl/microsoft-outlook-version-2002-visual-9788448132316.html,Computacion e informatica
9788441527782,Manual Avanzado Microsoft Office 2010,"DELGADO, JOSE MARIA",55730,https://www.antartica.cl/manual-avanzado-microsoft-office-2010-9788441527782.html,Computacion e informatica
9789587157505,Los Medios De Comunicacion Y Su Entorno. Como Usarlos De Manera Inteli,Javier Ballesta Pagán,4300,https://www.antartica.cl/los-medios-de-comunicacion-y-su-entorno-como-usarlos-de-manera-inteli-9789587157505.html,Computacion e informatica
9788488586841,Indesign Cs2,"BRICKENKAMP, ROLF",32010,https://www.antartica.cl/indesign-cs2-9788488586841.html,Computacion e informatica
9786123040536,Guia Practica. Power Point Y Word Edicion 2012,"PAREDES, PAUL",10400,https://www.antartica.cl/guia-practica-power-point-y-word-edicion-2012-9786123040536.html,Computacion e informatica
9786123042585,Guia Practica Photoshop Cc. Aplicacion Defectos Y Filtros,"MARCAS LEON, ALEJANDRO",16990,https://www.antartica.cl/guia-practica-photoshop-cc-aplicacion-defectos-y-filtros-9786123042585.html,Computacion e informatica
9786123042660,Guia Practica Dibujo Vectorial Y Efectos Con Illustrator Cc,"MARCAS LEON, ALEJANDRO",16990,https://www.antartica.cl/guia-practica-dibujo-vectorial-y-efectos-con-illustrator-cc-9786123042660.html,Computacion e informatica
9786123040383,Guia Practica Adobe Premiere. Edicion Y Post Produccion Edicion 2011,"RODRIGUEZ, DENIS",12900,https://www.antartica.cl/guia-practica-adobe-premiere-edicion-y-post-produccion-edicion-2011-9786123040383.html,Computacion e informatica
9789701006870,Envidia En Las Organizaciones,,2230,https://www.antartica.cl/envidia-en-las-organizaciones-9789701006870.html,Computacion e informatica
9786074814880,Administracion Del Conocimiento Y Desarrollo Basado En Conocimiento. R,"MARTINEZ, AMERICA",34900,https://www.antartica.cl/administracion-del-conocimiento-y-desarrollo-basado-en-conocimiento-r-9786074814880.html,Computacion e informatica
9789584101563,A Toda Maquina Staroffice Impress 5 2,"ALMENDRO, MANUEL",7500,https://www.antartica.cl/a-toda-maquina-staroffice-impress-5-2-9789584101563.html,Computacion e informatica
9788419212740,133 Lecciones En Un Minuto,"GARCIA, PAU",15992,https://www.antartica.cl/133-lecciones-en-un-minuto-9788419212740.html,Computacion e informatica
9789877194111,Internet No Es Lo Que Pensamos,"SMITH, JUSTIN",16900,https://www.antartica.cl/internet-no-es-lo-que-pensamos-9789877194111.html,Computacion e informatica
9789878983455,Micro:Bit ¿Como Enriquecer Las Experiencias De Aprendizaje?,"ROCCA, ANDREA",16500,https://www.antartica.cl/micro-bit-como-enriquecer-las-experiencias-de-aprendizaje-9789878983455.html,Computacion e informatica
9786077686507,"Corrosion, Degradacion Y Envejec D/Mater","PANCORBO, FRANCISCO",4560,https://www.antartica.cl/corrosion-degradacion-y-envejec-dmater-9786077686507.html,Computacion e informatica
9788413611259,Las Aventuras Del Equipo Ciber,"SERRET, CRISTINA",12900,https://www.antartica.cl/las-aventuras-del-equipo-ciber-9788413611259.html,Computacion e informatica
9788418870576,Five Nights At Freddys. Escalofrios De Fazbear #1,"CAWTHON, SCOTT",17000,https://www.antartica.cl/five-nights-at-freddys-escalofrios-de-fazbear-1-9788418870576.html,Computacion e informatica
9788426732484,Alexa. Desarrollo De Aplicaciones IOT Para Arduino Y ESP8266,"DOMINGUEZ, TOMAS",26850,https://www.antartica.cl/alexa-desarrollo-de-aplicaciones-iot-para-arduino-y-esp8266-9788426732484.html,Computacion e informatica
9786123040949,Corel Draw X6 Con DVD,"PAREDES, PAUL",24990,https://www.antartica.cl/corel-draw-x6-con-dvd-9786123040949.html,Computacion e informatica
9786123040857,Programacion Orientada A Objetos Con Visual Basic 2012,"TORRES, MANUEL",10995,https://www.antartica.cl/programacion-orientada-a-objetos-con-visual-basic-2012-9786123040857.html,Computacion e informatica
9788429134858,La Fiebre Del Silicon Valley,"ROGERS, E. M.",29990,https://www.antartica.cl/la-fiebre-del-silicon-valley-9788429134858.html,Computacion e informatica
9788429118100,Cibernetica,"COSSA, PAUL",15291,https://www.antartica.cl/cibernetica-9788429118100.html,Computacion e informatica
9789874738837,El Mundo Del Roleplay Con Perxitaa,PERITXAA,16720,https://www.antartica.cl/el-mundo-del-roleplay-con-perxitaa-9789874738837.html,Computacion e informatica
