isbn,titulo,Autor,precio,link,categoria
El Tarot De Las Brujas (Libro + Cartas),El Tarot De Las Brujas (Libro + Cartas),"LACOMBE, BENJAMIN",39803,https://www.antartica.cl/el-tarot-de-las-brujas-libro-cartas-9788414061237.html,Cuerpo y mente
Soy Neurodivergente. Una Guia Para Comprender,Soy Neurodivergente. Una Guia Para Comprender,"MUÑOZ OLIVARES, CAROLINA",18000,https://www.antartica.cl/soy-neurodivergente-una-guia-para-comprender-9789566129998.html,Cuerpo y mente
9789566424031,La Felicidad De Los Perros,"ROWLANDS, MARK",20900,https://www.antartica.cl/la-felicidad-de-los-perros-9789566424031.html,Cuerpo y mente
9789566122982,Por Que Soñamos,JANDIAL. RAHUL,19900,https://www.antartica.cl/por-que-sonamos-9789566122982.html,Cuerpo y mente
9789504990697,Recetas Para Vivir Mejor Y Mas Tiempo,"LOPEZ ROSETTI, DANIEL",19900,https://www.antartica.cl/recetas-para-vivir-mejor-y-mas-tiempo-9789504990697.html,Cuerpo y mente
9788466379526,Conecta Con La Motivacion,"TRACY, BRIAN",13000,https://www.antartica.cl/conecta-con-la-motivacion-9788466379526.html,Cuerpo y mente
9789569948855,Guia Practica Del Estoicismo,"PIGLIUCCI, MASSIMO",18900,https://www.antartica.cl/guia-practica-del-estoicismo-9789569948855.html,Cuerpo y mente
9789566293934,Soy Suficiente,"LACAMARA, MARIA JOSE",11900,https://www.antartica.cl/soy-suficiente-9789566293934.html,Cuerpo y mente
9789566122999,Los Vínculos Que Soy,"LOPEZ, VERONICA",17900,https://www.antartica.cl/los-vinculos-que-soy-9789566122999.html,Cuerpo y mente
9788417694289,La Digestion Es La Cuestion,"ENDERS, GIULIA",20900,https://www.antartica.cl/la-digestion-es-la-cuestion-9788417694289.html,Cuerpo y mente
9788425368851,Las Creencias Limitantes,"ARANDA, SARA",17000,https://www.antartica.cl/las-creencias-limitantes-9788425368851.html,Cuerpo y mente
9789566289296,Este Libro Es Mas Barato Que La Terapia,"KELLY, LIZ",18000,https://www.antartica.cl/este-libro-es-mas-barato-que-la-terapia-9789566289296.html,Cuerpo y mente
9789585425262,"Habla Menos, Actua Mas","TRACY, BRIAN",15000,https://www.antartica.cl/habla-menos-actua-mas-9789585425262.html,Cuerpo y mente
9788466377294,Ama Tu Soledad,"VILASECA, BORJA",12000,https://www.antartica.cl/ama-tu-soledad-9788466377294.html,Cuerpo y mente
