isbn,titulo,Autor,precio,link,categoria
9789566215202,El Algebra De La Riqueza,"GALLOWAY, SCOTT",23900,https://www.antartica.cl/el-algebra-de-la-riqueza-9789566215202.html,Economia y administracion
9789566366584,"Llorar, Reir, Vivir. Simplemente Yokoi Kenji","KENJI DIAZ, YOKOI",19900,https://www.antartica.cl/llorar-reir-vivir-simplemente-yokoi-kenji-9789566366584.html,Economia y administracion
9788403525412,La Regla De Los 3 Minutos,"PINVIDIC, BRANT",15000,https://www.antartica.cl/la-regla-de-los-3-minutos-9788403525412.html,Economia y administracion
9789564187518,I'Ts Growth Time!,"DEICHLER, ANDY",12990,https://www.antartica.cl/i-ts-growth-time-9789564187518.html,Economia y administracion
9789564207339,Perplejidad. Comprender Y Gestionar Los Desafios De Un Mundo Complejo,"BRAVO, DIEGO",18000,https://www.antartica.cl/perplejidad-comprender-y-gestionar-los-desafios-de-un-mundo-complejo-9789564207339.html,Economia y administracion
9788416997978,La Riqueza De La Diversidad,"HELGESEN, SALLY",23900,https://www.antartica.cl/la-riqueza-de-la-diversidad-9788416997978.html,Economia y administracion
9788416997985,La Paradoja,"HUNTER, JAMES",16900,https://www.antartica.cl/la-paradoja-9788416997985.html,Economia y administracion
9789560019295,"El Capitalismo Y Su Limitante Endogena: Acumulacion, Ganancia Y Crisis","BARAONA, MIGUEL",13000,https://www.antartica.cl/el-capitalismo-y-su-limitante-endogena-acumulacion-ganancia-y-crisis-9789560019295.html,Economia y administracion
9789564203393,¡No Me Digas Que No Te Importa!,"WALKER LARRAIN, EDUARDO",20000,https://www.antartica.cl/no-me-digas-que-no-te-importa-9789564203393.html,Economia y administracion
9789561131071,Contabilidad Basica. Guia De Estudio,"OLIVARES, JOSE A.",22899,https://www.antartica.cl/contabilidad-basica-guia-de-estudio-9789561131071.html,Economia y administracion
9788416997992,El Capital De Riesgo,"MALLABY, SEBASTIAN",23920,https://www.antartica.cl/el-capital-de-riesgo-9788416997992.html,Economia y administracion
9788418308000,Quemar Las Naves,"HIGGINS, MATT",19900,https://www.antartica.cl/quemar-las-naves-9788418308000.html,Economia y administracion
9789877950892,Al Limite,"SILVER, NATE",25000,https://www.antartica.cl/al-limite-9789877950892.html,Economia y administracion
9789501209518,Liderazgo + Humano,"MELAMED, ALEJANDRO",21900,https://www.antartica.cl/liderazgo-humano-9789501209518.html,Economia y administracion
9786316544728,La Creatividad En El Coaching,"ESCALANTE, ANA L.",33900,https://www.antartica.cl/la-creatividad-en-el-coaching-9786316544728.html,Economia y administracion
9789804374739,"Yo No Leo, Yo Practico","MARTINEZ, IVAN",20000,https://www.antartica.cl/yo-no-leo-yo-practico-9789804374739.html,Economia y administracion
9789562893503,El Mundo Segun America Latina. La CEPAL En La Era Del Desarrollo,"FAJARDO, MARGARITA",19900,https://www.antartica.cl/el-mundo-segun-america-latina-la-cepal-en-la-era-del-desarrollo-9789562893503.html,Economia y administracion
9786319084108,Vender Importando,"CACERES, DANY",23900,https://www.antartica.cl/vender-importando-9786319084108.html,Economia y administracion
9788418308017,El Pez Que No Quiso Evolucionar,"MURO, PACO",14900,https://www.antartica.cl/el-pez-que-no-quiso-evolucionar-9788418308017.html,Economia y administracion
9788418308024,La Empresa Social,"LITTLEJOHN, JOSH",19900,https://www.antartica.cl/la-empresa-social-9788418308024.html,Economia y administracion
9788492917280,El Metodo Timeboxing,ZAO-SANDERS. MARC,24900,https://www.antartica.cl/el-metodo-timeboxing-9788492917280.html,Economia y administracion
9789561130876,Topicos En Contabilidad Financiera,"OLIVARES, JOSE A.",22900,https://www.antartica.cl/topicos-en-contabilidad-financiera-9789561130876.html,Economia y administracion
9788419558916,Las Leyes De La Competicion,"GREENWALD, BRUCE C.",26400,https://www.antartica.cl/las-leyes-de-la-competicion-9788419558916.html,Economia y administracion
9788416997824,Dominar La Incertidumbre,"WATKINSON , MATT",22900,https://www.antartica.cl/dominar-la-incertidumbre-9788416997824.html,Economia y administracion
9788419841179,Vende Como Bezos,"GALLO, CARMINE",31491,https://www.antartica.cl/vende-como-bezos-9788419841179.html,Economia y administracion
9788419841841,Lideres Extraordinarios Que Cambiaron El Mundo,"PEREZ HERRERA, TOMAS ANTONIO",26091,https://www.antartica.cl/lideres-extraordinarios-que-cambiaron-el-mundo-9788419841841.html,Economia y administracion
9788419841865,Aprender Coaching Soft Skills,"PIQUERAS, CESAR",11992,https://www.antartica.cl/aprender-coaching-soft-skills-9788419841865.html,Economia y administracion
9788419841476,"Actua Como Un Lider, Piensa Como Un Lider","IBARRA, HERMINIA",29691,https://www.antartica.cl/actua-como-un-lider-piensa-como-un-lider-9788419841476.html,Economia y administracion
9788419870087,El Pequeño Libro De La Economia,"RUSK, SHAUN",20691,https://www.antartica.cl/el-pequeno-libro-de-la-economia-9788419870087.html,Economia y administracion
9788419870643,100 Habitos De La Gente Millonaria,"CUMBERLAND, NIGEL",23192,https://www.antartica.cl/100-habitos-de-la-gente-millonaria-9788419870643.html,Economia y administracion
9788410121164,Las 32 Leyes Inquebrantables Del Dinero,"TRACY, BRIAN",19990,https://www.antartica.cl/las-32-leyes-inquebrantables-del-dinero-9788410121164.html,Economia y administracion
9788411326254,El Arte Del Liderazgo En 21 Dias,"NAVONE, GIACOMO",27900,https://www.antartica.cl/el-arte-del-liderazgo-en-21-dias-9788411326254.html,Economia y administracion
9788416997640,Las Cinco Disfunciones De Un Equipo,"LENCIONI, PATRICK",18900,https://www.antartica.cl/las-cinco-disfunciones-de-un-equipo-9788416997640.html,Economia y administracion
9791254990292,Inversion En Bolsa Para Dummies,"DE LA CRUZ, RAFAEL",19992,https://www.antartica.cl/inversion-en-bolsa-para-dummies-9791254990292.html,Economia y administracion
9789566366294,Pioneros Del Capital,"VALENTE, JOSE RAMON",15920,https://www.antartica.cl/pioneros-del-capital-9789566366294.html,Economia y administracion
9788411722032,El Precio Siempre Sube,"FAUX, ZEKE",33800,https://www.antartica.cl/el-precio-siempre-sube-9788411722032.html,Economia y administracion
9788411721660,El Trader Todoterreno,"BASSO, TOM",32800,https://www.antartica.cl/el-trader-todoterreno-9788411721660.html,Economia y administracion
9789566275220,Camino A La Libertad,"STIGLITZ, JOSEPH",20000,https://www.antartica.cl/camino-a-la-libertad-9789566275220.html,Economia y administracion
9789566366270,El Santo Grial De La Inversion,"ZOOK, CHRISTOPHER",22900,https://www.antartica.cl/el-santo-grial-de-la-inversion-9789566366270.html,Economia y administracion
9789564186153,Tu. Como Alcanzar El Bienestar Y Movilizar A Otros,"CAMHI, ROBERTO",18900,https://www.antartica.cl/tu-como-alcanzar-el-bienestar-y-movilizar-a-otros-9789564186153.html,Economia y administracion
9780063238435,Mas Sabio Que El Diablo,"BISHOP, GARY JOHN",13794,https://www.antartica.cl/mas-sabio-que-el-diablo-9780063238435.html,Economia y administracion
9781400342761,La Transformacion Total De Su Dinero,"RAMSEY, DAVE",13794,https://www.antartica.cl/la-transformacion-total-de-su-dinero-9781400342761.html,Economia y administracion
9780718082420,En Busca De La Excelencia,"PETERS, TOM",14394,https://www.antartica.cl/en-busca-de-la-excelencia-9780718082420.html,Economia y administracion
9780718087227,El Autoliderazgo Y El Lider Al Minuto,"BLANCHARD, KEN",13794,https://www.antartica.cl/el-autoliderazgo-y-el-lider-al-minuto-9780718087227.html,Economia y administracion
9780829701937,Discurso Perfecto,"MCGOMAN, BILL",18392,https://www.antartica.cl/discurso-perfecto-9780829701937.html,Economia y administracion
9780718089559,Detalles Importantes,"PETERS, TOM",24990,https://www.antartica.cl/detalles-importantes-9780718089559.html,Economia y administracion
9789564185521,Crear Humanidad. Desde El Liderazgo Indiividual Hacia La Maestria De Lo Colectivo,"VENEGAS CABELLO, PEDRO ANDRES",20990,https://www.antartica.cl/crear-humanidad-desde-el-liderazgo-indiividual-hacia-la-maestria-de-lo-colectivo-9789564185521.html,Economia y administracion
9788423437146,El Precio Del Tiempo,"CHANCELLOR, EDWARD",27900,https://www.antartica.cl/el-precio-del-tiempo-9788423437146.html,Economia y administracion
9789566366218,Economia Humanista,"RISHEL, JOSEPH J.",18900,https://www.antartica.cl/economia-humanista-9789566366218.html,Economia y administracion
9789561433083,Del Laboratorio Al Mercado,"OSSA DARUICH, ALVARO",24110,https://www.antartica.cl/del-laboratorio-al-mercado-9789561433083.html,Economia y administracion
9789564086576,"No Basta Con Ahorrar, Hay Que Invertir","CAPETILLO, ROMINA",17900,https://www.antartica.cl/no-basta-con-ahorrar-ahora-invierte-9789564086576.html,Economia y administracion
9789566247531,Lo Que El Dinero No Puede Comprar,"SANDEL, MICHAEL J.",17000,https://www.antartica.cl/lo-que-el-dinero-no-puede-comprar-9789566247531.html,Economia y administracion
9789566366195,Como Hacer Que Tu Dinero Trabaje Por Ti,"ARENS, CRISTIAN",17900,https://www.antartica.cl/como-hacer-que-tu-dinero-trabaje-por-ti-9789566366195.html,Economia y administracion
9789878935461,Pack Desempeño Trilogia. Tres Volumenes,"ALLES, MARTHA",59490,https://www.antartica.cl/pack-desempeno-trilogia-tres-volumenes-9789878935461.html,Economia y administracion
9788449342417,El Cisne Negro,"TALEB, NASSIM N.",44900,https://www.antartica.cl/el-cisne-negro-9788449342417.html,Economia y administracion
9788410121065,Slow Productivity,"NEWPORT, CAL",19192,https://www.antartica.cl/slow-productivity-9788410121065.html,Economia y administracion
