isbn,titulo,Autor,precio,link,categoria
9789564087856,Salas. Me Dicen El Matador,"OSSES, NELSON",15120,https://www.antartica.cl/salas-me-dicen-el-matador-9789564087856.html,Entretencion y manualidades
9780241736920,Estiramientos,"MALEK, LEADA",26000,https://www.antartica.cl/estiramientos-9780241736920.html,Entretencion y manualidades
9789562575997,Secretos Del Crochet,"LEYZINA, ANNA",13800,https://www.antartica.cl/secretos-del-crochet-9789562575997.html,Entretencion y manualidades
9789562575980,Amigurumis Para Bebes,"GOLOVA, SVETLANA",14800,https://www.antartica.cl/amigurumis-para-bebes-9789562575980.html,Entretencion y manualidades
9789564087061,El Gran Libro De Las Camisetas De Los Mundiales,"CATALAN, ESTEBAN",29900,https://www.antartica.cl/el-gran-libro-de-las-camisetas-de-los-mundiales-9789564087061.html,Entretencion y manualidades
9789564065144,Relatos Populares #5,"BRIONES, FELIPE",13990,https://www.antartica.cl/relatos-populares-5-9789564065144.html,Entretencion y manualidades
9780241705629,Corte Y Confeccion. Prendas De Vestir A Medida,DORLING KINDERSLEY,36000,https://www.antartica.cl/corte-y-confeccion-prendas-de-vestir-a-medida-9780241705629.html,Entretencion y manualidades
9780241705599,Plantas De Interior,DORLING KINDERSLEY,32000,https://www.antartica.cl/plantas-de-interior-9780241705599.html,Entretencion y manualidades
9786319022841,El Arte De Tejer Crochet 2025,VEREDIT,14990,https://www.antartica.cl/el-arte-de-tejer-crochet-2025-9786319022841.html,Entretencion y manualidades
9786319022858,El Arte De Tejer 2025,VEREDIT,14990,https://www.antartica.cl/el-arte-de-tejer-2025-9786319022858.html,Entretencion y manualidades
9783741936609,The World's Most Beautiful Horses,"BOISELLE, GABRIELE",16140,https://www.antartica.cl/the-world-s-most-beautiful-horses-9783741936609.html,Entretencion y manualidades
9789564065212,100 Años De Gloria. La Historia De Colo Colo 1925-2025,"HUBNER, VICENTE",30000,https://www.antartica.cl/100-anos-de-gloria-la-historia-de-colo-colo-1925-2025-9789564065212.html,Entretencion y manualidades
9789562575805,Mi Primer Libro De Ajedrez,CONTRAPUNTO,21800,https://www.antartica.cl/mi-primer-libro-de-ajedrez-9789562575805.html,Entretencion y manualidades
9789569958229,La Vuelta Al Futbol En 80 Historias,"RUIZ DEL BARCO, IKER",14320,https://www.antartica.cl/la-vuelta-al-futbol-en-80-historias-9789569958229.html,Entretencion y manualidades
9789564086996,Quien Es Chile,"ABARZUA, ESTEBAN",18320,https://www.antartica.cl/quien-es-chile-9789564086996.html,Entretencion y manualidades
9789874610669,Arboles,LOS EDITORES DE CATAPULTA,16501,https://www.antartica.cl/arboles-9789874610669.html,Entretencion y manualidades
9789566293613,Historia Freak Del Futbol,"BARAÑAO, JOAQUIN",12900,https://www.antartica.cl/historia-freak-del-futbol-9789566293613.html,Entretencion y manualidades
9789560116642,¿Quien Es Chile?. Revoluciones En La Cancha,"NOEMI, DANIEL",14000,https://www.antartica.cl/quien-es-chile-revoluciones-en-la-cancha-9789560116642.html,Entretencion y manualidades
9788419282989,Katana. El Sable Japones,"YOSHIHARA, YOSHINDO",35991,https://www.antartica.cl/katana-el-sable-japones-9788419282989.html,Entretencion y manualidades
9788492917235,Messi. 10 Miradas Sobre El 10,"SEGURA TREJO, FERNANDO",20720,https://www.antartica.cl/messi-10-miradas-sobre-el-10-9788492917235.html,Entretencion y manualidades
9789562575737,Acuarela Abstracta.  Guia Para Una Pintura Creativa Y Expresiva,"LEACH, KATE REBECCA",16800,https://www.antartica.cl/acuarela-abstracta-guia-para-una-pintura-creativa-y-expresiva-9789562575737.html,Entretencion y manualidades
9788411540599,La Magia De Las Semillas,"BRICKENKAMP, ROLF
VARIOS AUTORES",24800,https://www.antartica.cl/la-magia-de-las-semillas-9788411540599.html,Entretencion y manualidades
9789562575379,Origami De La Naturaleza,"CLOVER, ROBIN",14800,https://www.antartica.cl/origami-de-la-naturaleza-9789562575379.html,Entretencion y manualidades
9789562575362,Origami De Flores,"CLOVER, ROBIN",14800,https://www.antartica.cl/origami-de-flores-9789562575362.html,Entretencion y manualidades
9789562575539,Mantas Modernas. 100 Patrones A Crochet Para Crear Combinicaciones Unicas,"CRICK, ESME",17800,https://www.antartica.cl/mantas-modernas-100-patrones-a-crochet-para-crear-combinicaciones-unicas-9789562575539.html,Entretencion y manualidades
9789562575683,Pajaritos Kawaii. Aprende A Dibujar,"BUDROCK, JENNIFER",12800,https://www.antartica.cl/pajaritos-kawaii-aprende-a-dibujar-9789562575683.html,Entretencion y manualidades
9788411540780,Dibujar Seres Miticos Chibi,LIBRERO,24800,https://www.antartica.cl/dibujar-seres-miticos-chibi-9788411540780.html,Entretencion y manualidades
9788411540834,Mezcla Y Combina Granny Squares. 50 Diseños Para Crear,LIBRERO,27800,https://www.antartica.cl/mezcla-y-combina-granny-squares-50-disenos-para-crear-9788411540834.html,Entretencion y manualidades
9788499171418,Ajedrez Elemental,VARIOS AUTORES,15920,https://www.antartica.cl/ajedrez-elemental-9788499171418.html,Entretencion y manualidades
9789562575508,Recorta Y Crea Collages Botanicos,"MCNULTY, ELIZABETH",19800,https://www.antartica.cl/recorta-y-crea-collages-botanicos-9789562575508.html,Entretencion y manualidades
9789562893633,Palestino. Un Club Unico En El Mundo,NICOLAS VIDAL DEL VALLE,3000,https://www.antartica.cl/palestino-un-club-unico-en-el-mundo-9789562893633.html,Entretencion y manualidades
9788411325752,Un Garabato Al Dia,"MICHAEL, TAMARA",14900,https://www.antartica.cl/un-garabato-al-dia-9788411325752.html,Entretencion y manualidades
9789563177770,Mi Vision Del Tenis,"NUÑEZ DEL PRADO BENAVENTE, ARTURO",15000,https://www.antartica.cl/mi-vision-del-tenis-9789563177770.html,Entretencion y manualidades
9781338249606,Lionel Messi,"MORREALE, MARIE",7992,https://www.antartica.cl/lionel-messi-9781338249606.html,Entretencion y manualidades
