isbn,titulo,Autor,precio,link,categoria
9780241705612,Carne,"FLETCHER, NICHOLA",30000,https://www.antartica.cl/carne-9780241705612.html,Gastronomia y vinos
9789876379922,Pasteleria. Volumen 1,CATAPULTA,30900,https://www.antartica.cl/pasteleria-volumen-1-9789876379922.html,Gastronomia y vinos
9789878152080,Casa Vigil,"VIGIL, ALEJANDRO",57000,https://www.antartica.cl/casa-vigil-9789878152080.html,Gastronomia y vinos
9789560955678,The Simple Life,"QUIÑONES, AUGUSTA",31990,https://www.antartica.cl/the-simple-life-9789560955678.html,Gastronomia y vinos
9789563164855,Secretos De La Cocina Chilena. Secrets Of Chilean Cousine,"Marin, Roberto",13900,https://www.antartica.cl/secretos-de-la-cocina-chilena-secrets-of-chilean-cousine-9789563164855.html,Gastronomia y vinos
9780241725498,China. Las Mejores Recetas,DORLING KINDERSLEY,30000,https://www.antartica.cl/china-las-mejores-recetas-9780241725498.html,Gastronomia y vinos
9788419483324,Dulces Kawaii,"VENTURA, AI",24990,https://www.antartica.cl/dulces-kawaii-9788419483324.html,Gastronomia y vinos
9788419483539,Reposteria Japonesa,"VENTURA, AI",24990,https://www.antartica.cl/reposteria-japonesa-9788419483539.html,Gastronomia y vinos
9789560955241,Descorchados 2025,"TAPIA, PATRICIO",24900,https://www.antartica.cl/descorchados-2025-9789560955241.html,Gastronomia y vinos
9789502417806,El Bar En Casa,"ORELLANO, FERNANDA",25300,https://www.antartica.cl/el-bar-en-casa-9789502417806.html,Gastronomia y vinos
9788425359866,Simplemente Jamie,"OLIVER, JAMIE",45000,https://www.antartica.cl/simplemente-jamie-9788425359866.html,Gastronomia y vinos
9789878151496,Banda. Cocina De Mujeres,"BRICKENKAMP, ROLF
VARIOS AUTORES",19000,https://www.antartica.cl/banda-cocina-de-mujeres-9789878151496.html,Gastronomia y vinos
9788419043535,Sabores De Italia,"GAUDRY, FRANCOIS-REGIS",89000,https://www.antartica.cl/sabores-de-italia-9788419043535.html,Gastronomia y vinos
9788419043450,150 Bares Imprescindibles,"LIJCOPS, JURGEN",35920,https://www.antartica.cl/150-bares-imprescindibles-9788419043450.html,Gastronomia y vinos
9788419043504,De La Finca A La Taza,"RAIS, YASSIR",44900,https://www.antartica.cl/de-la-finca-a-la-taza-9788419043504.html,Gastronomia y vinos
9788419043498,Cantina Japonesa,"LELEU, CLEMENCE",47920,https://www.antartica.cl/cantina-japonesa-9788419043498.html,Gastronomia y vinos
9788419870407,"Compra Bien, Come Mejor","YAÑEZ DE LA CAL, ALEX",23192,https://www.antartica.cl/compra-bien-come-mejor-9788419870407.html,Gastronomia y vinos
9789878152783,La Mar,CATAPULTA,60000,https://www.antartica.cl/la-mar-9789878152783.html,Gastronomia y vinos
9788412718270,El Arte Del Coctel,"ABAD GOMEZ, JAVIER",15840,https://www.antartica.cl/el-arte-del-coctel-9788412718270.html,Gastronomia y vinos
9789564188447,Manitos Al Plato,"KHAMIS, ISIDORA",29990,https://www.antartica.cl/manitos-al-plato-9789564188447.html,Gastronomia y vinos
9789878151892,Tierras,"MARTITEGUI, GERMAN",32199,https://www.antartica.cl/tierras-9789878151892.html,Gastronomia y vinos
9789878150604,Fran Hace Pan,CATAPULTA,25990,https://www.antartica.cl/fran-hace-pan-9789878150604.html,Gastronomia y vinos
9788467799569,Especias Y Plantas Aromaticas,"MONTORO, JORGE",26991,https://www.antartica.cl/especias-y-plantas-aromaticas-9788467799569.html,Gastronomia y vinos
9789876378741,Christina Sunae. Kusinera Filipina,VARIOS AUTORES,41000,https://www.antartica.cl/christina-sunae-kusinera-filipina-9789876378741.html,Gastronomia y vinos
9786075279749,La Dieta Keto,"AXE, JOSH",26780,https://www.antartica.cl/la-dieta-keto-9786075279749.html,Gastronomia y vinos
9786075577555,La Dieta De La Clinica Mayo,"HENSRUD, DONALD",32020,https://www.antartica.cl/la-dieta-de-la-clinica-mayo-9786075577555.html,Gastronomia y vinos
