isbn,titulo,Autor,precio,link,categoria
9789562626712,Mi nombre es Emilia del Valle,"ALLENDE, ISABEL",20000,https://www.antartica.cl/mi-nombre-es-emilia-del-valle-9789562626712.html,Literatura
La Boda De La Asistenta,La Boda De La Asistenta,"MCFADDEN, FREIDA",10000,https://www.antartica.cl/la-boda-de-la-asistenta-9789566190578.html,Literatura
No Tengas Miedo,No Tengas Miedo,"KING, STEPHEN",25000,https://www.antartica.cl/no-tengas-miedo-9789566129981.html,Literatura
9789566196778,El Buzon De Las Impuras,"SOLAR, FRANCISCA",25900,https://www.antartica.cl/el-buzon-de-las-impuras-9789566196778.html,Literatura
9788426403278,Tan Poca Vida,"YANAGIHARA, HANYA",24000,https://www.antartica.cl/tan-poca-vida-9788426403278.html,Literatura
El Loco De Dios En El Fin Del Mundo - REIMPRESIÓN,El Loco De Dios En El Fin Del Mundo - REIMPRESIÓN,"CERCAS, JAVIER",22000,https://www.antartica.cl/el-loco-de-dios-en-el-fin-del-mundo-9789877693959.html,Literatura
9789566355458,La Sombra De Patricio Lynch,"PARVEX, GUILLERMO",16000,https://www.antartica.cl/la-sombra-de-patricio-lynch-9789566355458.html,Literatura
9789564087221,Por Si Un Dia Volvemos,"DUEÑAS, MARIA",26900,https://www.antartica.cl/por-si-un-dia-volvemos-9789564087221.html,Literatura
9789564087764,El Ultimo Secreto - PREVENTA,"BROWN, DAN",25110,https://www.antartica.cl/el-ultimo-secreto-9789564087764.html,Literatura
9789564087207,La Tienda De Los Deseos,"KORISU, HIYOKU",16900,https://www.antartica.cl/la-tienda-de-los-deseos-9789564087207.html,Literatura
9789564082691,Bluebells,"SOLAR, FRANCISCA",19900,https://www.antartica.cl/bluebells-9789564082691.html,Literatura
9789566190325,El Secreto De La Asistenta,"MCFADDEN, FREIDA",18000,https://www.antartica.cl/el-secreto-de-la-asistenta-9789566190325.html,Literatura
9789566129882,Psicopatas Chilenos,"MATUS, ALVARO",12800,https://www.antartica.cl/psicopatas-chilenos-9789566129882.html,Literatura
Blanco,Blanco,"KANG, HAN",18000,https://www.antartica.cl/blanco-9789877694017.html,Literatura
9789566190400,LA ASISTENTA TE VIGILA,"MCFADDEN, FREIDA",18000,https://www.antartica.cl/la-asistenta-te-vigila-9789566190400.html,Literatura
9789506447526,El Cafe De La Luna Llena,"MOCHIZUKI, MAI",17000,https://www.antartica.cl/el-cafe-de-la-luna-llena-9789506447526.html,Literatura
9789569963490,Que Verguenza,"FLORES, PAULINA",11900,https://www.antartica.cl/que-verguenza-9789569963490.html,Literatura
Atmosphere,Atmosphere,"JENKINS REID, TAYLOR",20900,https://www.antartica.cl/atmosphere-9789566402145.html,Literatura
9789502817569,EN EL AMOR Y EN LA GUERRA,"FALCONES, ILDEFONSO",20800,https://www.antartica.cl/el-amor-y-en-la-guerra-en-lcdm-3-9789502817569.html,Literatura
9789564087467,El Hijo Del Tallador De Mascaras,"RICHMAN, ALYSON",21900,https://www.antartica.cl/el-hijo-del-tallador-de-mascaras-9789564087467.html,Literatura
9789566045298,Poeta Chileno,"ZAMBRA, ALEJANDRO",22000,https://www.antartica.cl/poeta-chileno-9789566045298.html,Literatura
9789566146124,Los Juegos Del Hambre (Juegos Del Hambre #1),"COLLINS, SUZANNE",16800,https://www.antartica.cl/los-juegos-del-hambre-juegos-del-hambre-1-9789566146124.html,Literatura
9789878453545,Blackwater Parte IV. La Guerra,"MCDOWELL, MICHAEL",12000,https://www.antartica.cl/catalog/product/view/id/750354/s/blackwater-parte-iv-la-guerra-9789878453545/category/262/,Literatura
Imposible decir adios,Imposible decir adios,"KANG, HAN",13600,https://www.antartica.cl/catalog/product/view/id/754721/s/la-vegetariana-9789566248514/category/262/,Literatura
Blackwater Parte V. La Fortuna,Blackwater Parte V. La Fortuna,"MCDOWELL, MICHAEL",12000,https://www.antartica.cl/blackwater-parte-iv-la-guerra-9789878453545.html,Literatura
9789566355403,Gladys Marin. Una Vida Revolucionaria,"AMOROS, MARIO",17600,https://www.antartica.cl/gladys-marin-una-vida-revolucionaria-9789566355403.html,Literatura
9789878453507,Blackwater I. La Riada,"MCDOWELL, MICHAEL",12000,https://www.antartica.cl/blackwater-i-la-riada-9789878453507.html,Literatura
Blackwater Parte VI. LLuvia,Blackwater Parte VI. LLuvia,"MCDOWELL, MICHAEL",12000,https://www.antartica.cl/blackwater-parte-vi-lluvia-9789878453569.html,Literatura
9789569963599,Todo Lo Que Nunca Fuimos,"KELLEN, ALICE",13900,https://www.antartica.cl/todo-lo-que-nunca-fuimos-9789569963599.html,Literatura
9789566129356,La Lista Del Juez,"GRISHAM, JOHN",11550,https://www.antartica.cl/la-lista-del-juez-9789566129356.html,Literatura
9789878453538,Blackwater Parte III. La Casa,"MCDOWELL, MICHAEL",12000,https://www.antartica.cl/blackwater-parte-iii-la-casa-9789878453538.html,Literatura
9786287513327,El Ruiseñor,"HANNAH, KRISTIN",15000,https://www.antartica.cl/el-ruisenor-9786287513327.html,Literatura
9789566145950,The Striker. Los Opuestos Se Atraen (Dioses Del Juego #1),"HUANG, ANA",24900,https://www.antartica.cl/the-striker-los-opuestos-se-atraen-dioses-del-juego-1-9789566145950.html,Literatura
9789569963681,La Chica Del Tren,"HAWKINS, PAULA",14900,https://www.antartica.cl/la-chica-del-tren-9789569963681.html,Literatura
9789878453521,Blackwater Parte II. El Dique,"MCDOWELL, MICHAEL",12000,https://www.antartica.cl/blackwater-parte-ii-el-dique-9789878453521.html,Literatura
9789566190493,Las Mujeres De La Guerra,"HANNAH, KRISTIN",20000,https://www.antartica.cl/las-mujeres-de-la-guerra-9789566190493.html,Literatura
9789589016312,Misery,"KING, STEPHEN",12000,https://www.antartica.cl/misery-9789589016312.html,Literatura
9789564086262,Bienvenidos A La Libreria Hyunam-Dong,"BO-REUM, HWANG",18900,https://www.antartica.cl/bienvenidos-a-la-libreria-hyunam-dong-9789564086262.html,Literatura
9789566393184,Mas Fuerte Que El Peligro (Vuelo & Gloria #1),"YARROS, REBECCA",20000,https://www.antartica.cl/mas-fuerte-que-el-peligro-vuelo-gloria-1-9789566393184.html,Literatura
9789569963605,Todo Lo Que Somos Juntos,"KELLEN, ALICE",13900,https://www.antartica.cl/todo-lo-que-somos-juntos-9789569963605.html,Literatura
9789569635601,Meditaciones,MARCO AURELIO,8400,https://www.antartica.cl/meditaciones-9789569635601.html,Literatura
9789569987649,Una Idea Salvaje,"FRANKLIN, JONATHAN",24900,https://www.antartica.cl/una-idea-salvaje-9789569987649.html,Literatura
9780439023528,The Hunger Games (Hunger Games Series #1),"COLLINS, SUZANNE",15992,https://www.antartica.cl/the-hunger-games-hunger-games-series-1-9780439023528.html,Literatura
9789566247593,Nexus,"HARARI, YUVAL NOAH",20800,https://www.antartica.cl/nexus-9789566247593.html,Literatura
